className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
BaseIdTest,BaseIdTest33,BaseId,80.00,100.00,20.00,6,32,43,30,2,2,2,0,2,145,1,6,1,10,6,False,0
BlockMorphTest,BlockMorphTest4,BlockMorph,4.80,4.80,0.00,5,649,75,0,0,595,0,595,40,819,0,1,1,625,5,True,0
CommandBlockMorphTest,CommandBlockMorphTest12,CommandBlockMorph,27.33,30.63,3.30,12,465,162,54,1,242,11,231,10,838,2,4,43,333,12,True,0
LazyArrayTest16To30,LazyArrayTest72,LazyArray,68.10,71.17,3.07,15,179,152,64,4,52,5,47,5,745,1,14,2,163,31,True,0
ObjStreamTest,ObjStreamTest16,ObjStream,74.06,74.40,0.34,3,660,105,13,1,76,1,75,4,215,0,3,25,293,3,False,0
SColorListTest,SColorListTest8,SColorList,45.38,47.06,1.68,1,277,23,61,1,65,2,63,5,22,0,1,1,119,1,False,0
SDisplayTest16To18,SDisplayTest6,SDisplay,39.39,39.39,0.00,3,127,34,0,0,40,0,40,11,732,0,2,4,66,18,True,0
SDisplayTest1To15,SDisplayTest7,SDisplay,39.39,39.39,0.00,15,127,125,0,0,40,0,40,7,722,0,2,13,66,18,True,0
SMicroWorldTest1To15,SMicroWorldTest38,SMicroWorld,29.81,44.23,14.42,15,311,293,492,13,73,15,58,31,809,3,7,13,104,20,True,0
SNativeDiffuserTest16To21,SNativeDiffuserTest33,SNativeDiffuser,97.00,98.00,1.00,6,209,105,17,1,3,1,2,7,54,0,6,2,100,21,False,0
SNativeDiffuserTest1To15,SNativeDiffuserTest78,SNativeDiffuser,97.00,98.00,1.00,15,209,297,17,1,3,1,2,3,190,0,15,3,100,21,False,0
SObserverTest,SObserverTest12,SObserver,5.88,5.88,0.00,4,68,35,0,0,48,0,48,8,47,0,4,1,51,4,False,0
SPatchesTest16To30,SPatchesTest78,SPatches,87.80,92.68,4.88,15,156,209,60,3,10,4,6,14,425,2,15,14,82,31,False,0
SPatchesTest1To15,SPatchesTest75,SPatches,87.80,91.46,3.66,15,156,257,41,2,10,3,7,13,390,1,15,11,82,31,False,0
SProcessTest16To18,SProcessTest18,SProcess,71.79,71.79,0.00,3,94,46,0,0,11,0,11,3,15,0,3,1,39,18,False,0
SProcessTest1To15,SProcessTest78,SProcess,71.79,74.36,2.56,15,94,160,15,1,11,1,10,0,181,1,15,5,39,18,False,0
STurtlesTest16To26,STurtlesTest58,STurtles,86.67,95.56,8.89,11,110,114,50,3,6,4,2,3,597,3,11,4,45,26,False,0
ScratchBlockDefTest16To17,ScratchBlockDefTest13,ScratchBlockDef,85.37,85.37,0.00,2,67,22,0,0,6,0,6,7,6,0,2,1,41,17,False,0
ScratchBlockDefTest1To15,ScratchBlockDefTest77,ScratchBlockDef,85.37,85.37,0.00,15,67,154,0,0,6,0,6,0,129,0,15,23,41,17,False,0
ScratchBytecodeGeneratorTest46To47,ScratchBytecodeGeneratorTest10,ScratchBytecodeGenerator,66.67,66.67,0.00,2,181,31,0,0,21,0,21,41,19,0,2,1,63,47,False,0
ScratchBytecodeTest,ScratchBytecodeTest33,ScratchBytecode,55.56,55.56,0.00,6,23,36,0,0,4,0,4,0,11,0,6,2,9,6,False,0
ScratchBytecodeValueTest,ScratchBytecodeValueTest33,ScratchBytecodeValue,82.54,82.54,0.00,6,58,92,0,0,11,0,11,0,24,0,6,1,63,6,False,0
ScratchNativeThreadTest61To63,ScratchNativeThreadTest18,ScratchNativeThread,82.14,82.14,0.00,3,321,71,0,0,15,0,15,8,45,0,3,1,84,63,False,0
ScratchPlotCommandTest,ScratchPlotCommandTest13,ScratchPlotCommand,12.00,44.00,32.00,2,33,16,54,2,22,8,14,2,5,3,2,1,25,2,False,0
ScratchPlotterMorphTest16To30,ScratchPlotterMorphTest8,ScratchPlotterMorph,81.55,81.55,0.00,15,271,171,0,0,31,0,31,10,731,0,2,2,168,37,True,0
ScratchPlotterMorphTest1To15,ScratchPlotterMorphTest8,ScratchPlotterMorph,81.55,81.55,0.00,15,271,161,0,0,31,0,31,9,731,0,2,2,168,37,True,0
ScratchPlotterMorphTest31To37,ScratchPlotterMorphTest5,ScratchPlotterMorph,81.55,81.55,0.00,7,271,83,0,0,31,0,31,15,723,0,2,2,168,37,True,0
ScratchSexpImporterTest,ScratchSexpImporterTest43,ScratchSexpImporter,13.51,13.51,0.00,8,193,59,0,0,96,0,96,12,52,0,8,2,111,8,False,0
ScratchStepperMorphTest,ScratchStepperMorphTest7,ScratchStepperMorph,50.00,50.00,0.00,2,13,10,0,0,2,0,2,1,698,0,2,1,4,2,False,0
SexpLexerTest,SexpLexerTest23,SexpLexer,94.12,94.12,0.00,4,31,50,0,0,1,0,1,1,193,0,4,1,17,4,False,0
SexpParserTest,SexpParserTest18,SexpParser,87.50,87.50,0.00,3,21,39,0,0,2,0,2,0,13,0,3,1,16,3,False,0
SteloBytecodeGeneratorTest16To30,SteloBytecodeGeneratorTest39,SteloBytecodeGenerator,50.00,50.00,0.00,15,264,473,0,0,14,0,14,40,535,0,15,12,28,98,False,0
SteloBytecodeGeneratorTest31To45,SteloBytecodeGeneratorTest47,SteloBytecodeGenerator,50.00,50.00,0.00,15,264,368,0,0,14,0,14,45,531,0,15,11,28,98,False,0
SteloBytecodeGeneratorTest61To75,SteloBytecodeGeneratorTest53,SteloBytecodeGenerator,50.00,50.00,0.00,15,264,299,0,0,14,0,14,44,488,0,15,10,28,98,False,0
SteloBytecodeGeneratorTest91To98,SteloBytecodeGeneratorTest24,SteloBytecodeGenerator,50.00,50.00,0.00,8,264,141,0,0,14,0,14,47,175,0,8,6,28,98,False,0
SteloNativeThreadTest16To30,SteloNativeThreadTest51,SteloNativeThread,39.58,39.58,0.00,15,331,276,0,0,29,0,29,1,751,0,10,10,48,100,True,0
SteloNativeThreadTest46To60,SteloNativeThreadTest43,SteloNativeThread,39.58,39.58,0.00,15,331,283,0,0,29,0,29,1,731,0,8,13,48,100,True,0
SteloNativeThreadTest61To75,SteloNativeThreadTest58,SteloNativeThread,39.58,39.58,0.00,15,331,245,0,0,29,0,29,1,739,0,11,8,48,100,True,0
SteloNativeThreadTest76To90,SteloNativeThreadTest51,SteloNativeThread,39.58,39.58,0.00,15,331,267,0,0,29,0,29,1,721,0,10,8,48,100,True,0
SteloNativeThreadTest91To100,SteloNativeThreadTest53,SteloNativeThread,39.58,39.58,0.00,10,331,182,0,0,29,0,29,2,652,0,10,9,48,100,False,0
SteloProcessTest,SteloProcessTest13,SteloProcess,50.00,50.00,0.00,2,14,12,0,0,1,0,1,1,2,0,2,1,2,2,False,0
StringArrayTest16To17,StringArrayTest13,StringArray,72.73,81.82,9.09,2,72,34,22,1,6,2,4,4,25,0,2,3,22,17,False,0
StringArrayTest1To15,StringArrayTest78,StringArray,72.73,86.36,13.64,15,72,127,44,3,6,3,3,3,138,1,15,2,22,17,False,0
VarDefTest16To29,VarDefTest73,VarDef,76.81,88.41,11.59,14,112,135,100,5,16,8,8,7,247,2,14,2,69,29,False,0
VarDefTest1To15,VarDefTest78,VarDef,76.81,88.41,11.59,15,112,140,100,5,16,8,8,5,173,2,15,2,69,29,False,0
VariablesTest16To27,VariablesTest63,Variables,57.35,60.29,2.94,12,98,176,46,2,29,2,27,12,394,1,12,4,68,27,False,0
VariablesTest1To15,VariablesTest78,Variables,57.35,61.76,4.41,15,98,194,54,3,29,3,26,10,434,1,15,3,68,27,False,0
